RULE_ID;ERROR_TYPE;ERROR_MESSAGE
LAFO010;Error;IF legal form is a legal person or common land then the year of birth of the holder must be null
LAFO011;Error;IF legal form is NOT a legal person (PER_LEG_NEG or PER_LEG_EG) NOR common land (UNIT_CML) THEN the year of birth of the holder must not be null
LAFO012;Error;IF Sole holder is also the manager OR the holding is a group holding THEN the year of birth of the manager = the year of birth of the holder
LAFO013;Error;IF Sole holder is also the manager OR Farm co-managed by holder and spouse or family member OR holding is a group holding then the percentage bands of the working hours of the holder cannot be not relevant and are > 0
LAFO014;Error;IF Holder spouse is the manager of the holding OR Manager is a member of the holder family but not his spouse OR manager is not a member of the holder family then the percentage bands of the working hours of the holder must be >=0
LAFO015;Error;IF legal form is a legal person (PER_LEG_NEG or PER_LEG_EG) OR common land (UNIT_CML) THEN the percentage bands of the work of the holder must be not applicable
LAFO016;Error;IF sole holder is also the manager OR holding is a group holding THEN the percent band of work the manager must be = the percent band of work of the holder
LAFO017;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a male AND the manager work time is in 1-24 percent band THEN the number of male family members with Work time 1-24 has to be > 0
LAFO018;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a male AND the manager work time is in 25-49 percent band THEN the number of male family members with Work time 25-49 has to be > 0
LAFO019;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a male AND the manager work time is in 50-74 percent band THEN the number of male family members with Work time 50-74 has to be > 0
LAFO020;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a male AND the manager work time is in 75-99 percent band THEN the number of male family members with Work time 75-99 has to be > 0
LAFO021;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a male AND the manager work time is in 100 percent band THEN the number of male family members with Work time 100 has to be > 0
LAFO022;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a female AND the manager work time is in 1-24 percent band THEN the number of female family members with Work time 1-24 has to be > 0
LAFO023;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a female AND the manager work time is in 25-49 percent band THEN the number of female family members with Work time 25-49 has to be > 0
LAFO024;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a female AND the manager work time is in 50-74 percent band THEN the number of female family members with Work time 50-74 has to be > 0
LAFO025;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a female AND the manager work time is in 75-99 percent band THEN the number of female family members with Work time 75-99 has to be > 0
LAFO026;Error;IF (the holder spouse is the manager of the holding OR the manager is a member of the holder family but not his spouse) AND the manager is a female AND the manager work time is in 100 percent band THEN the number of female family members with Work time 100 has to be > 0
LAFO027;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a male AND the manager work time is in 1-24 percent band THEN the number of male non-family members (directly employed by the holding) with Work time 1-24 has to be > 0
LAFO028;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a male AND the manager work time is in 25-49 percent band THEN the number of male non-family members (directly employed by the holding) with Work time 25-49 has to be > 0
LAFO029;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a male AND the manager work time is in 50-74 percent band THEN the number of male non-family members (directly employed by the holding) with Work time 50-74 has to be > 0
LAFO030;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a male AND the manager work time is in 75-99 percent band THEN the number of male non-family members (directly employed by the holding) with Work time 75-99 has to be > 0
LAFO031;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a male AND the manager work time is in 100 percent band THEN the number of male non-family members (directly employed by the holding) with Work time 100 has to be > 0
LAFO032;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a female AND the manager work time is in 1-24 percent band THEN the number of female non-family members (directly employed by the holding) with Work time 1-24 has to be > 0
LAFO033;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a female AND the manager work time is in 25-49 percent band THEN the number of female non-family members (directly employed by the holding) with Work time 25-49 has to be > 0
LAFO034;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a female AND the manager work time is in 50-74 percent band THEN the number of female non-family members (directly employed by the holding) with Work time 50-74 has to be > 0
LAFO035;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a female AND the manager work time is in 75-99 percent band THEN the number of female non-family members (directly employed by the holding) with Work time 75-99 has to be > 0
LAFO036;Error;IF (the manager of the holding is not a family member of the holder OR holding is a legal person (PER_LEG_NEG or PER_LEG_EG)) AND the manager is a female AND the manager work time is in 100 percent band THEN the number of female non-family members (directly employed by the holding) with Work time 100 has to be > 0
LAFO037;Error;IF the holding is a legal person (PER_LEG_NEG or PER_LEG_EG) OR the holding is a group holding (HLD_GRP) OR the holding is a common land unit (UNIT_CML) THEN the farm work of family members of the holder is 0 (zero)
LAFO042;Error;IF holding is of type (Holding is a legal person (PER_LEG_NEG or PER_LEG_EG) OR Holding is common land (UNIT_CML)) must have NOGA_HLD_RH = 1
LAFO043;Error;For OGA of the holder (MLFO023) which are directly related to the holding, only one option can be true out of MOGA or SOGA or NOGA
LAFO044;Error;For OGA of the holder (MLFO023) which are directly related to the holding, only one option can be true out of MOGA or SOGA or NOGA
LAFO045;Error;For OGA of the holder (MLFO023) which are directly related to the holding, only one option can be true out of MOGA or SOGA or NOGA
LAFO047;Error;Legal holdings (PER_LEG_NEG OR PER_LEG_EG), holding-groups (HLD_GRP) or common land units (UNIT_CML) must have MOGA_FAM_RH = 0 AND SOGA_FAM_RH = 0
LAFO052;Error;Other gainful activities of non-family members (related to the holding) as secondary activity (MLFO027) are collected for sole holder holdings and holding-groups
LAFO053;Error;Other gainful activities of non-family members (related to the holding) as main activity (MLFO026) are NOT collected for legal holdings ((PER_LEG_NEG or PER_LEG_EG) NOR common land units ((UNIT_CML))
LAFO054;Error;Other gainful activities of non-family members (related to the holding) as seconday activity (MLFO027) are NOT collected for legal holdings ((PER_LEG_NEG or PER_LEG_EG)) NOR common land units ((UNIT_CML))
LAFO057;Error;Other gainful activities of family members (not related to the holding) as main activity (MLFO029) are only collected for sole holder holdings where the holder is the manager
LAFO058;Error;Other gainful activities of family members (not related to the holding) as secondary activity (MLFO030) are only collected for sole holder holdings where the holder is the manager
LAFO060;Error;Type of other gainful activities is NOT collected (= 0) for legal persons ((PER_LEG_NEG or PER_LEG_EG)) NOR common land units (UNIT_CML)
LAFO062;Error;Percent band of other gainful activities directly related to the agricultural holding on the final output of the holding is NOT collected (PC_OGA_OUT = _Z) for legal persons ((PER_LEG_NEG or PER_LEG_EG)) NOR common land units (UNIT_CML)
LAFO063;Error;With the exception of legal persons ((PER_LEG_NEG or PER_LEG_EG)) OR common land units (UNIT_CML) IF there are no other gainful activities in the holding THEN the importance of other gainful activities in the holding must be >=0 AND <=10
LAFO065;Error;If extrapolation factor 1 for the module LAFO is null extrapolation factors 2 and 3 must be null
LAFO066;Error;If extrapolation factor 2 for the module LAFO is null then extrapolation factor 3 must be null
LAFO067;Error;IF the holders spouse or family member is co-manager of the holding THEN the farmwork (in AWU) of family members of the sole holder has to be > 0 (zero)
LAFO068;Info;For farms with LAFO data the extrapolation factor 2 of LAFO module has to be larger than or equal to the extrapolation factor 2 in the CORE
LAFO069;Info;For farms with LAFO data the extrapolation factor 3 of LAFO module has to be larger than or equal to the extrapolation factor 3 in the CORE
LAFO070;Error;If the only extrapolation factor completed is 1 then the fields of PSU and SSU are not relevant
LAFO071;Error;If the only extrapolation factors completed are 1 and 2 then the field of PSU is relevant and the field of SSU is not relevant
LAFO072;Error;If all 3 extrapolation factors are completed then the fields of PSU and SSU are relevant
LAFO073;Error;If the stratum is not filled in then the flag of the stratum indicates NOT APPLICABLE
LAFO074;Error;If the stratum is filled in then the flag of the stratum is filled in with the code indicating its meaning
LAFO075;Error;If the PSU is not filled in then the corresponding flag indicates NOT APPLICABLE
LAFO076;Error;If the PSU is filled in then the corresponding flag is filled in with 1
LAFO077;Error;If the SSU is not filled in then the corresponding flag indicates NOT APPLICABLE
LAFO078;Error;If the SSU is filled in then the corresponding flag is filled in with 1
LAFO079;Error;If the OSU is not filled in then the corresponding flag indicates NOT APPLICABLE
LAFO080;Error;If the OSU is filled in then the corresponding flag is filled in with 1
LAFO081;Error;There should not be 2 records with the same PSU and different strata
LAFO082;Error;There should not be 2 records with the same SSU and different PSU or different strata
LAFO083;Error;All holdings with LAFO module data should have EXTPOL_FACT1_LAFO completed
LAFO084;Error;All holdings without LAFO module data shall have all data fields and sampling design fields for the LAFO module null. Flag fields excepted (they need to be filled in)
LAFO088;Info;Holder was born before 1926 or after 2009
LAFO089;Error;Holder cannot be born after 2011 nor before 1906
LAFO090;Error;For OGA of the holder (MLFO028) which are not directly related to the holding, only one option can be true out of MOGA or SOGA or NOGA
LAFO091;Error;For OGA of the holder (MLFO028) which are not directly related to the holding, only one option can be true out of MOGA or SOGA or NOGA
LAFO092;Error;For OGA of the holder (MLFO028) which are not directly related to the holding, only one option can be true out of MOGA or SOGA or NOGA
LAFO093;Error;If the holder has OGA (MLFO023) which are directly related to the holding as main activity (MOGA_HLD_RH = 1) then it is not possible to have OGA (MLFO028) which are not related to the holding also as main activity.
LAFO094;Error;If the holder has OGA (MLFO028) which are not directly related to the holding as main activity (MOGA_HLD_NRH = 1) then it is not possible to have OGA (MLFO023) which are related to the holding also as main activity.
LAFO095;Error;All holdings with LAFO module data shall have all fields and sampling design data fields for the LAFO module filled in
RDEV002;Info;For farms with RDEV data the extrapolation factor 1 of RDEV module has to be larger than or equal to extrapolation factor 1 in the CORE
RDEV003;Info;IF the stratum ID is completed for the core we expect the same stratum ID in the module for each holding however exceptions might occur when strata are collapsed in the smaller module sub-sample due to a single responding holding in a stratum
RDEV004;Error;When the core is sample-based having PSUs and a module is a sub-sample of the core the holdings in the sub-sample (with both core and module data) shall have the same code in PSU_RDEV and PSU_CORE
RDEV005;Error;IF the secondary sampling unit is completed for the core we expect the same in the module for each holding
RDEV006;Error;IF the order of the selection of the holding or of the primary sampling unit in the first stage is completed in the core the same is expected in the module for each holding
RDEV008;Error;Measure 18 applies only to Croatia
RDEV009;Error;All holdings without RDEV module data shall have all data fields and sampling design fields for the RDEV module null. Flag fields excepted (they need to be filled in)
RDEV010;Error;If extrapolation factor 2 for the module RDEV is null then extrapolation factor 3 must be null
RDEV011;Error;All holdings with RDEV module data should have at least the first two extrapolation factors for the module (EXTPOL_FACT1_RDEV and EXTPOL_FACT2_RDEV) completed
RDEV013;Info;For farms with RDEV data the extrapolation factor 2 of RDEV module has to be larger than or equal to extrapolation factor 2 in the CORE
RDEV014;Info;For farms with RDEV data the extrapolation factor 3 of RDEV module has to be larger than or equal to extrapolation factor 3 in the CORE
RDEV015;Error;If the only extrapolation factor completed is 1 then the fields of PSU and SSU are not relevant
RDEV016;Error;If the only extrapolation factors completed are 1 and 2 then the field of PSU is relevant and the field of SSU is not relevant
RDEV017;Error;If all 3 extrapolation factors are completed then the fields of PSU and SSU are relevant
RDEV018;Error;If the stratum is not filled in then the flag of the stratum indicates NOT APPLICABLE
RDEV019;Error;If the stratum is filled in then the flag of the stratum is filled in with the code indicating its meaning
RDEV020;Error;If the PSU is not filled in then the corresponding flag indicates NOT APPLICABLE
RDEV021;Error;If the PSU is filled in then the corresponding flag is filled in with 1
RDEV022;Error;If the SSU is not filled in then the corresponding flag indicates NOT APPLICABLE
RDEV023;Error;If the SSU is filled in then the corresponding flag is filled in with 1
RDEV024;Error;If the OSU is not filled in then the corresponding flag indicates NOT APPLICABLE
RDEV025;Error;If the OSU is filled in then the corresponding flag is filled in with 1
RDEV026;Error;There should not be 2 records with the same PSU and different strata
RDEV027;Error;There should not be 2 records with the same SSU and different PSU or different strata
RDEV028;Info;The farm has received support under rural development for organic farming (RDEV_29_11) but has no organic area (UAATXK0000_ORG)
RDEV029;Info;The farm has received support under rural development for animal welfare (RDEV_33_14) but has no livestock
RDEV033;Error;If extrapolation factor 1 for the module RDEV is null extrapolation factors 2 and 3 must be null
